0x80080790,z2_RomToRam
0x800808F4,z2_GetFileTable
0x80080950,z2_GetFilePhysAddr
0x800809BC,z2_GetFileNumber
0x80080A08,z2_LoadFile
0x80080C90,z2_DmaMgr_SendRequest0
0x80080C90,z2_ReadFile
0x80081178,z2_Yaz0_LoadAndDecompressFile
0x80086FA0,z2_RngInt
0x80086FD0,z2_RngSetSeed
0x80086FDC,z2_Rand_ZeroOne
0x8008F1E0,z2_strlen
0x800A7128,z2_BaseDrawCollectable
0x800A72AC,z2_DrawRupee
0x800A75B8,z2_DrawHeartPiece
0x800A7650,z2_item_can_be_spawned
0x800A7730,z2_fixed_drop_spawn
0x800A7AD4,z2_rupee_drop_spawn
0x800A7D28,z2_random_drop_spawn
0x800B16B8,z2_EffectSsKiraKira_SpawnSmall
0x800B3BA4,z2_SetShape
0x800B5BB0,z2_get_generic_flag
0x800B5BF4,z2_set_generic_flag
0x800B5C34,z2_remove_generic_flag
0x800B5C78,z2_get_chest_flag
0x800B5C90,z2_set_chest_flag
0x800B5CAC,z2_set_all_chest_flags
0x800B5CB8,z2_get_all_chest_flags
0x800B5CC4,z2_get_clear_flag
0x800B5CDC,z2_set_clear_flag
0x800B5CF8,z2_remove_clear_flag
0x800B5D18,z2_get_temp_clear_flag
0x800B5D30,z2_set_temp_clear_flag
0x800B5D4C,z2_remove_temp_clear_flag
0x800B5D6C,z2_get_collectible_flag
0x800B5DB0,z2_set_collectibe_flag
0x800B670C,z2_ActorUnload
0x800B67E0,z2_SetActorSize
0x800B6948,z2_ActorDtor
0x800B6E6C,z2_Actor_OffsetOfPointInActorCoords
0x800B8050,z2_PreDraw2
0x800B8118,z2_PreDraw1
0x800B84D0,z2_800B84D0
0x800B85E0,z2_800B85E0
0x800B867C,z2_IsMessageClosing
0x800B8A1C,z2_SetGetItem
0x800B8BD0,z2_SetGetItemLongrange
0x800B8E58,z2_PlayPlayerSfx
0x800B8EC8,z2_PlaySfxAtActor
0x800B9170,z2_load_scene_flags
0x800B9334,z2_spawn_map_actors
0x800BAC60,z2_SpawnActor
0x800BAC60,z2_actor_spawn_1
0x800BAE14,z2_actor_spawn_2
0x800BB498,z2_ActorRemove
0x800BDC5C,z2_Actor_ChangeAnimation
0x800C99D4,z2_GetFloorPhysicsType
0x800CB7CC,z2_Camera_IsHookArrival
0x800EE320,z2_BaseDrawGiModel
0x800F1648,z2_ActorCutscene_ClearWaiting
0x800F1678,z2_ActorCutscene_ClearNextCutscenes
0x800F16A8,z2_ActorCutscene_MarkNextCutscenes
0x800F17FC,z2_ActorCutscene_End
0x800F1A7C,z2_ActorCutscene_Update
0x800F1BA4,z2_ActorCutscene_SetIntentToPlay
0x800F1BE4,z2_ActorCutscene_GetCanPlayNext
0x800F1C68,z2_ActorCutscene_StartAndSetUnkLinkFields
0x800F1CE0,z2_ActorCutscene_StartAndSetFlag
0x800F1D84,z2_ActorCutscene_Start
0x800F1FBC,z2_ActorCutscene_Stop
0x800F207C,z2_ActorCutscene_GetCurrentIndex
0x800F208C,z2_ActorCutscene_GetCutscene
0x800F20B8,z2_ActorCutscene_GetAdditionalCutscene
0x800F20F8,z2_ActorCutscene_GetLength
0x800F21B8,z2_ActorCutscene_GetCurrentCamera
0x800F23C4,z2_ActorCutscene_SetReturnCamera
0x800F4F54,z2_Kanfont_LoadAsciiChar
0x800FEC90,z2_memcpy
0x800FED84,z2_Math_Sins
0x800FF2F8,z2_HandleInputVelocity
0x800FF92C,z2_Math_Vec3f_DistXZ
0x8010069C,z2_WriteHeartColors
0x8010CFBC,z2_8010CFBC
0x8010D480,z2_8010D480
0x8010EF68,z2_UpdateButtonsState
0x80110038,z2_UpdateButtonUsability
0x80112B40,z2_ReloadButtonTexture
0x80112E80,z2_GiveItem
0x801143CC,z2_IsItemKnown
0x80114978,z2_CheckItemObtainability
0x801149A0,z2_RemoveItem
0x80114E90,z2_HasEmptyBottle
0x8011552C,z2_HudSetAButtonText
0x801159EC,z2_AddRupees
0x80117BD0,z2_DrawButtonAmounts
0x80118084,z2_DrawBButtonIcon
0x80118890,z2_DrawCButtonIcons
0x80123358,z2_CanInteract2
0x801233E4,z2_CanInteract
0x801242DC,z2_801242DC
0x8012BC50,z2_8012BC50
0x8012BF78,z2_Gfx_CallSetupDL
0x8012C28C,z2_Gfx_8012C28C
0x8012C2DC,z2_CallSetupDList
0x8012C654,z2_8012C654
0x8012E96C,z2_LoadRoom
0x8012EBF8,z2_UnloadRoom
0x8012EF0C,z2_GiveMap
0x8012F2E0,z2_object_spawn
0x8012F4FC,z2_load_objects
0x8012F608,z2_GetObjectIndex
0x80133B3C,z2_SkelAnime_DrawLimb
0x80133F28,z2_SkelAnime_DrawLimb2
0x801343C0,z2_SkelAnime_DrawLimb3
0x8013A240,z2_UpdatePictoFlags
0x80147564,z2_InitButtonNoteColors
0x80147624,z2_80147624
0x801518B0,z2_ShowMessage
0x80152498,z2_GetMessageState
0x801660B8,z2_801660B8
0x801693D4,z2_load_scene
0x80169CBC,z2_check_scene_pairs
0x80169D40,z2_store_scene_flags
0x80178DAC,z2_LoadFileFromArchive
0x80178E3C,z2_LoadVFileFromArchive
0x8018019C,z2_PushMatrixStackCopy
0x801801CC,z2_PopMatrixStack
0x80180234,z2_GetMatrixStackTop
0x801812FC,z2_TransformMatrixStackTop
0x80181A40,z2_ShiftMatrix
0x80190294,z2_GetAudioTable
0x8019C300,z2_ToggleSfxDampen
0x8019F0C8,z2_PlaySfx
0x801A3098,z2_SetBGM2
0x800B9010,z2_PlayLoopingSfxAtActor
0x80127A60,z2_PlayerBunnyHoodLimbs
0x801284A0,z2_PlayerGreatFairyLimbs
0x80127594,z2_PlayerGormanTears
0x801278F8,z2_PlayerBlastMaskAnim
0x801801E8,z2_CopyFromMatrixStackTop
0x8018020C,z2_CopyToMatrixStackTop
0x80128640,z2_80128640
